datetime,time,high,low,open,close,volume
2025-05-09,14:51:00,169.1500,168.7800,168.7900,169.1400,31927.51
2025-05-09,14:52:00,169.2500,168.8600,169.1400,169.2300,21733.50
2025-05-09,14:53:00,169.2300,168.8100,169.2300,168.8600,39382.09
2025-05-09,14:54:00,168.9600,168.6600,168.8700,168.8400,27364.33
2025-05-09,14:55:00,168.9500,168.7100,168.8500,168.9300,24703.70
2025-05-09,14:56:00,169.2000,168.8600,168.9200,169.2000,19970.70
2025-05-09,14:57:00,169.3800,169.1400,169.2000,169.3600,21827.33
2025-05-09,14:58:00,169.4600,169.1800,169.3600,169.3200,34029.90
2025-05-09,14:59:00,169.4200,169.1800,169.3300,169.2900,15236.90
2025-05-09,15:00:00,169.3600,169.1600,169.2900,169.3100,16350.00
2025-05-09,15:01:00,169.5100,169.0800,169.3200,169.0900,56949.47
2025-05-09,15:02:00,169.3300,168.8000,169.0900,168.9900,27003.91
2025-05-09,15:03:00,169.1600,168.8000,168.9900,169.1600,23126.50
2025-05-09,15:04:00,169.3300,168.9500,169.1600,169.0000,18988.43
2025-05-09,15:05:00,169.1800,168.9800,169.0000,169.0300,16269.87
2025-05-09,15:06:00,169.4800,169.0200,169.0300,169.3600,11423.81
2025-05-09,15:07:00,169.5000,169.2600,169.3700,169.3000,18061.96
2025-05-09,15:08:00,169.6900,169.2500,169.3100,169.5500,13930.67
2025-05-09,15:09:00,169.6500,169.4000,169.5600,169.4000,10562.05
2025-05-09,15:10:00,169.6700,169.3000,169.3900,169.4600,22886.72
2025-05-09,15:11:00,169.9300,169.2900,169.4600,169.8300,26253.11
2025-05-09,15:12:00,170.1900,169.7100,169.8300,169.7400,37626.95
2025-05-09,15:13:00,170.0800,169.6200,169.7400,170.0200,18231.05
2025-05-09,15:14:00,170.1600,169.9900,170.0200,170.0600,16470.24
2025-05-09,15:15:00,170.1000,169.9100,170.0500,169.9900,22308.34
2025-05-09,15:16:00,170.0900,169.9300,170.0000,170.0800,20896.15
2025-05-09,15:17:00,170.2200,169.9600,170.0800,170.0100,16189.85
